2025/05/10 23:45:53 Running in pod
2025/05/10 23:45:54 Connected to vCenter: wv-qa-vc.wv.mentorg.com
2025/05/10 23:45:54 Connected to OpenStack
2025/05/10 23:45:54 VCenter Thumbprint: c6:d4:67:f5:6c:74:c8:66:63:66:94:03:cc:e9:58:65:3b:d5:47:f5
2025/05/10 23:45:54 Creating volumes in OpenStack
Volume created successfully %s available
Volume created successfully %s available
2025/05/10 23:46:05 Volumes created successfully
2025/05/10 23:46:05 CBT Enabled: true
2025/05/10 23:46:05 Starting NBD server
2025/05/10 23:46:07 Copying disk 0, Completed: 0%
2025/05/10 23:46:51 Copying disk 0, Completed: 0%
2025/05/10 23:46:52 Copying disk 0, Completed: 1%
2025/05/10 23:46:53 Copying disk 0, Completed: 1%
2025/05/10 23:46:54 Copying disk 0, Completed: 1%
2025/05/10 23:46:54 Copying disk 0, Completed: 1%
2025/05/10 23:46:55 Copying disk 0, Completed: 1%
2025/05/10 23:46:55 Copying disk 0, Completed: 1%
2025/05/10 23:46:56 Copying disk 0, Completed: 1%
2025/05/10 23:46:57 Copying disk 0, Completed: 1%
2025/05/10 23:46:57 Copying disk 0, Completed: 1%
2025/05/10 23:46:58 Copying disk 0, Completed: 1%
2025/05/10 23:46:58 Copying disk 0, Completed: 1%
2025/05/10 23:46:59 Copying disk 0, Completed: 1%
2025/05/10 23:46:59 Copying disk 0, Completed: 1%
2025/05/10 23:47:00 Copying disk 0, Completed: 1%
2025/05/10 23:47:00 Copying disk 0, Completed: 1%
2025/05/10 23:47:01 Copying disk 0, Completed: 1%
2025/05/10 23:47:02 Copying disk 0, Completed: 1%
2025/05/10 23:47:02 Copying disk 0, Completed: 1%
2025/05/10 23:47:03 Copying disk 0, Completed: 1%
2025/05/10 23:47:04 Copying disk 0, Completed: 1%
2025/05/10 23:47:04 Copying disk 0, Completed: 1%
2025/05/10 23:47:05 Copying disk 0, Completed: 1%
2025/05/10 23:47:06 Copying disk 0, Completed: 1%
2025/05/10 23:47:07 Copying disk 0, Completed: 1%
2025/05/10 23:47:08 Copying disk 0, Completed: 1%
2025/05/10 23:47:09 Copying disk 0, Completed: 1%
2025/05/10 23:47:10 Copying disk 0, Completed: 1%
2025/05/10 23:47:11 Copying disk 0, Completed: 1%
2025/05/10 23:47:12 Copying disk 0, Completed: 1%
2025/05/10 23:47:13 Copying disk 0, Completed: 1%
2025/05/10 23:47:14 Copying disk 0, Completed: 1%
2025/05/10 23:47:15 Copying disk 0, Completed: 1%
2025/05/10 23:47:16 Copying disk 0, Completed: 1%
2025/05/10 23:47:17 Copying disk 0, Completed: 1%
2025/05/10 23:47:18 Copying disk 0, Completed: 1%
2025/05/10 23:47:19 Copying disk 0, Completed: 1%
2025/05/10 23:47:20 Copying disk 0, Completed: 1%
2025/05/10 23:47:21 Copying disk 0, Completed: 1%
2025/05/10 23:47:22 Copying disk 0, Completed: 1%
2025/05/10 23:47:23 Copying disk 0, Completed: 1%
2025/05/10 23:47:24 Copying disk 0, Completed: 1%
2025/05/10 23:47:24 Copying disk 0, Completed: 2%
2025/05/10 23:47:26 Copying disk 0, Completed: 2%
2025/05/10 23:47:26 Copying disk 0, Completed: 2%
2025/05/10 23:47:27 Copying disk 0, Completed: 2%
2025/05/10 23:47:28 Copying disk 0, Completed: 2%
2025/05/10 23:47:29 Copying disk 0, Completed: 2%
2025/05/10 23:47:30 Copying disk 0, Completed: 2%
2025/05/10 23:47:31 Copying disk 0, Completed: 2%
2025/05/10 23:47:32 Copying disk 0, Completed: 2%
2025/05/10 23:47:33 Copying disk 0, Completed: 2%
2025/05/10 23:47:34 Copying disk 0, Completed: 2%
2025/05/10 23:47:35 Copying disk 0, Completed: 2%
2025/05/10 23:47:36 Copying disk 0, Completed: 2%
2025/05/10 23:47:37 Copying disk 0, Completed: 2%
2025/05/10 23:47:38 Copying disk 0, Completed: 2%
2025/05/10 23:47:39 Copying disk 0, Completed: 2%
2025/05/10 23:47:40 Copying disk 0, Completed: 2%
2025/05/10 23:47:41 Copying disk 0, Completed: 2%
2025/05/10 23:47:42 Copying disk 0, Completed: 2%
2025/05/10 23:47:42 Copying disk 0, Completed: 2%
2025/05/10 23:47:43 Copying disk 0, Completed: 2%
2025/05/10 23:47:44 Copying disk 0, Completed: 2%
2025/05/10 23:47:45 Copying disk 0, Completed: 2%
2025/05/10 23:47:46 Copying disk 0, Completed: 2%
2025/05/10 23:47:47 Copying disk 0, Completed: 2%
2025/05/10 23:47:48 Copying disk 0, Completed: 2%
2025/05/10 23:47:49 Copying disk 0, Completed: 2%
2025/05/10 23:47:49 Copying disk 0, Completed: 2%
2025/05/10 23:47:50 Copying disk 0, Completed: 2%
2025/05/10 23:47:51 Copying disk 0, Completed: 2%
2025/05/10 23:47:51 Copying disk 0, Completed: 2%
2025/05/10 23:47:52 Copying disk 0, Completed: 2%
2025/05/10 23:47:53 Copying disk 0, Completed: 2%
2025/05/10 23:47:54 Copying disk 0, Completed: 2%
2025/05/10 23:47:55 Copying disk 0, Completed: 2%
2025/05/10 23:47:56 Copying disk 0, Completed: 2%
2025/05/10 23:47:57 Copying disk 0, Completed: 2%
2025/05/10 23:47:58 Copying disk 0, Completed: 2%
2025/05/10 23:47:58 Copying disk 0, Completed: 2%
2025/05/10 23:47:59 Copying disk 0, Completed: 2%
2025/05/10 23:48:00 Copying disk 0, Completed: 2%
2025/05/10 23:48:01 Copying disk 0, Completed: 3%
2025/05/10 23:48:02 Copying disk 0, Completed: 3%
2025/05/10 23:48:03 Copying disk 0, Completed: 3%
2025/05/10 23:48:03 Copying disk 0, Completed: 3%
2025/05/10 23:48:04 Copying disk 0, Completed: 3%
2025/05/10 23:48:05 Copying disk 0, Completed: 3%
2025/05/10 23:48:06 Copying disk 0, Completed: 3%
2025/05/10 23:48:07 Copying disk 0, Completed: 3%
2025/05/10 23:48:08 Copying disk 0, Completed: 3%
2025/05/10 23:48:09 Copying disk 0, Completed: 3%
2025/05/10 23:48:10 Copying disk 0, Completed: 3%
2025/05/10 23:48:11 Copying disk 0, Completed: 3%
2025/05/10 23:48:11 Copying disk 0, Completed: 3%
2025/05/10 23:48:12 Copying disk 0, Completed: 3%
2025/05/10 23:48:13 Copying disk 0, Completed: 3%
2025/05/10 23:48:14 Copying disk 0, Completed: 3%
2025/05/10 23:48:15 Copying disk 0, Completed: 3%
2025/05/10 23:48:15 Copying disk 0, Completed: 3%
2025/05/10 23:48:16 Copying disk 0, Completed: 3%
2025/05/10 23:48:17 Copying disk 0, Completed: 3%
2025/05/10 23:48:18 Copying disk 0, Completed: 3%
2025/05/10 23:48:19 Copying disk 0, Completed: 3%
2025/05/10 23:48:20 Copying disk 0, Completed: 3%
2025/05/10 23:48:21 Copying disk 0, Completed: 3%
2025/05/10 23:48:22 Copying disk 0, Completed: 3%
2025/05/10 23:48:23 Copying disk 0, Completed: 3%
2025/05/10 23:48:24 Copying disk 0, Completed: 3%
2025/05/10 23:48:24 Copying disk 0, Completed: 3%
2025/05/10 23:48:25 Copying disk 0, Completed: 3%
2025/05/10 23:48:26 Copying disk 0, Completed: 3%
2025/05/10 23:48:27 Copying disk 0, Completed: 3%
2025/05/10 23:48:28 Copying disk 0, Completed: 3%
2025/05/10 23:48:29 Copying disk 0, Completed: 3%
2025/05/10 23:48:29 Copying disk 0, Completed: 3%
2025/05/10 23:48:30 Copying disk 0, Completed: 3%
2025/05/10 23:48:31 Copying disk 0, Completed: 3%
2025/05/10 23:48:32 Copying disk 0, Completed: 3%
2025/05/10 23:48:33 Copying disk 0, Completed: 3%
2025/05/10 23:48:34 Copying disk 0, Completed: 3%
2025/05/10 23:48:35 Copying disk 0, Completed: 3%
2025/05/10 23:48:35 Copying disk 0, Completed: 3%
2025/05/10 23:48:36 Copying disk 0, Completed: 4%
2025/05/10 23:48:37 Copying disk 0, Completed: 4%
2025/05/10 23:48:38 Copying disk 0, Completed: 4%
2025/05/10 23:48:39 Copying disk 0, Completed: 4%
2025/05/10 23:48:40 Copying disk 0, Completed: 4%
2025/05/10 23:48:41 Copying disk 0, Completed: 4%
2025/05/10 23:48:41 Copying disk 0, Completed: 4%
2025/05/10 23:48:42 Copying disk 0, Completed: 4%
2025/05/10 23:48:43 Copying disk 0, Completed: 4%
2025/05/10 23:48:44 Copying disk 0, Completed: 4%
2025/05/10 23:48:45 Copying disk 0, Completed: 4%
2025/05/10 23:48:46 Copying disk 0, Completed: 4%
2025/05/10 23:48:46 Copying disk 0, Completed: 4%
2025/05/10 23:48:47 Copying disk 0, Completed: 4%
2025/05/10 23:48:48 Copying disk 0, Completed: 4%
2025/05/10 23:48:49 Copying disk 0, Completed: 4%
2025/05/10 23:48:50 Copying disk 0, Completed: 4%
2025/05/10 23:48:51 Copying disk 0, Completed: 4%
2025/05/10 23:48:52 Copying disk 0, Completed: 4%
2025/05/10 23:48:53 Copying disk 0, Completed: 4%
2025/05/10 23:48:53 Copying disk 0, Completed: 4%
2025/05/10 23:48:54 Copying disk 0, Completed: 4%
2025/05/10 23:48:55 Copying disk 0, Completed: 4%
2025/05/10 23:48:56 Copying disk 0, Completed: 4%
2025/05/10 23:48:57 Copying disk 0, Completed: 4%
2025/05/10 23:48:57 Copying disk 0, Completed: 4%
2025/05/10 23:48:58 Copying disk 0, Completed: 4%
2025/05/10 23:48:59 Copying disk 0, Completed: 4%
2025/05/10 23:49:00 Copying disk 0, Completed: 4%
2025/05/10 23:49:01 Copying disk 0, Completed: 4%
2025/05/10 23:49:02 Copying disk 0, Completed: 4%
2025/05/10 23:49:02 Copying disk 0, Completed: 4%
2025/05/10 23:49:03 Copying disk 0, Completed: 4%
2025/05/10 23:49:04 Copying disk 0, Completed: 4%
2025/05/10 23:49:05 Copying disk 0, Completed: 4%
2025/05/10 23:49:06 Copying disk 0, Completed: 4%
2025/05/10 23:49:07 Copying disk 0, Completed: 4%
2025/05/10 23:49:07 Copying disk 0, Completed: 4%
2025/05/10 23:49:08 Copying disk 0, Completed: 4%
2025/05/10 23:49:09 Copying disk 0, Completed: 4%
2025/05/10 23:49:09 Copying disk 0, Completed: 4%
2025/05/10 23:49:10 Copying disk 0, Completed: 5%
2025/05/10 23:49:10 Copying disk 0, Completed: 5%
2025/05/10 23:49:11 Copying disk 0, Completed: 5%
2025/05/10 23:49:11 Copying disk 0, Completed: 5%
2025/05/10 23:49:12 Copying disk 0, Completed: 5%
2025/05/10 23:49:12 Copying disk 0, Completed: 5%
2025/05/10 23:49:13 Copying disk 0, Completed: 5%
2025/05/10 23:49:13 Copying disk 0, Completed: 5%
2025/05/10 23:49:14 Copying disk 0, Completed: 5%
2025/05/10 23:49:14 Copying disk 0, Completed: 5%
2025/05/10 23:49:15 Copying disk 0, Completed: 5%
2025/05/10 23:49:15 Copying disk 0, Completed: 5%
2025/05/10 23:49:16 Copying disk 0, Completed: 5%
2025/05/10 23:49:16 Copying disk 0, Completed: 5%
2025/05/10 23:49:17 Copying disk 0, Completed: 5%
2025/05/10 23:49:17 Copying disk 0, Completed: 5%
2025/05/10 23:49:18 Copying disk 0, Completed: 5%
2025/05/10 23:49:18 Copying disk 0, Completed: 5%
2025/05/10 23:49:19 Copying disk 0, Completed: 5%
2025/05/10 23:49:19 Copying disk 0, Completed: 5%
2025/05/10 23:49:20 Copying disk 0, Completed: 5%
2025/05/10 23:49:20 Copying disk 0, Completed: 5%
2025/05/10 23:49:21 Copying disk 0, Completed: 5%
2025/05/10 23:49:21 Copying disk 0, Completed: 5%
2025/05/10 23:49:22 Copying disk 0, Completed: 5%
2025/05/10 23:49:22 Copying disk 0, Completed: 5%
2025/05/10 23:49:23 Copying disk 0, Completed: 5%
2025/05/10 23:49:23 Copying disk 0, Completed: 5%
2025/05/10 23:49:24 Copying disk 0, Completed: 5%
2025/05/10 23:49:24 Copying disk 0, Completed: 5%
2025/05/10 23:49:25 Copying disk 0, Completed: 5%
2025/05/10 23:49:25 Copying disk 0, Completed: 5%
2025/05/10 23:49:26 Copying disk 0, Completed: 5%
2025/05/10 23:49:26 Copying disk 0, Completed: 5%
2025/05/10 23:49:27 Copying disk 0, Completed: 5%
2025/05/10 23:49:27 Copying disk 0, Completed: 5%
2025/05/10 23:49:28 Copying disk 0, Completed: 5%
2025/05/10 23:49:28 Copying disk 0, Completed: 5%
2025/05/10 23:49:29 Copying disk 0, Completed: 5%
2025/05/10 23:49:29 Copying disk 0, Completed: 5%
2025/05/10 23:49:30 Copying disk 0, Completed: 5%
2025/05/10 23:49:30 Copying disk 0, Completed: 6%
2025/05/10 23:49:31 Copying disk 0, Completed: 6%
2025/05/10 23:49:31 Copying disk 0, Completed: 6%
2025/05/10 23:49:32 Copying disk 0, Completed: 6%
2025/05/10 23:49:32 Copying disk 0, Completed: 6%
2025/05/10 23:49:33 Copying disk 0, Completed: 6%
2025/05/10 23:49:34 Copying disk 0, Completed: 6%
2025/05/10 23:49:34 Copying disk 0, Completed: 6%
2025/05/10 23:49:35 Copying disk 0, Completed: 6%
2025/05/10 23:49:35 Copying disk 0, Completed: 6%
2025/05/10 23:49:36 Copying disk 0, Completed: 6%
2025/05/10 23:49:36 Copying disk 0, Completed: 6%
2025/05/10 23:49:37 Copying disk 0, Completed: 6%
2025/05/10 23:49:37 Copying disk 0, Completed: 6%
2025/05/10 23:49:38 Copying disk 0, Completed: 6%
2025/05/10 23:49:38 Copying disk 0, Completed: 6%
2025/05/10 23:49:39 Copying disk 0, Completed: 6%
2025/05/10 23:49:39 Copying disk 0, Completed: 6%
2025/05/10 23:49:40 Copying disk 0, Completed: 6%
2025/05/10 23:49:40 Copying disk 0, Completed: 6%
2025/05/10 23:49:41 Copying disk 0, Completed: 6%
2025/05/10 23:49:41 Copying disk 0, Completed: 6%
2025/05/10 23:49:42 Copying disk 0, Completed: 6%
2025/05/10 23:49:42 Copying disk 0, Completed: 6%
2025/05/10 23:49:43 Copying disk 0, Completed: 6%
2025/05/10 23:49:43 Copying disk 0, Completed: 6%
2025/05/10 23:49:44 Copying disk 0, Completed: 6%
2025/05/10 23:49:45 Copying disk 0, Completed: 6%
2025/05/10 23:49:45 Copying disk 0, Completed: 6%
2025/05/10 23:49:46 Copying disk 0, Completed: 6%
2025/05/10 23:49:46 Copying disk 0, Completed: 6%
2025/05/10 23:49:47 Copying disk 0, Completed: 6%
2025/05/10 23:49:47 Copying disk 0, Completed: 6%
2025/05/10 23:49:48 Copying disk 0, Completed: 6%
2025/05/10 23:49:48 Copying disk 0, Completed: 6%
2025/05/10 23:49:49 Copying disk 0, Completed: 6%
2025/05/10 23:49:49 Copying disk 0, Completed: 6%
2025/05/10 23:49:50 Copying disk 0, Completed: 6%
2025/05/10 23:49:50 Copying disk 0, Completed: 6%
2025/05/10 23:49:51 Copying disk 0, Completed: 6%
2025/05/10 23:49:51 Copying disk 0, Completed: 6%
2025/05/10 23:49:52 Copying disk 0, Completed: 7%
2025/05/10 23:49:52 Copying disk 0, Completed: 7%
2025/05/10 23:49:53 Copying disk 0, Completed: 7%
2025/05/10 23:49:53 Copying disk 0, Completed: 7%
2025/05/10 23:49:54 Copying disk 0, Completed: 7%
2025/05/10 23:49:54 Copying disk 0, Completed: 7%
2025/05/10 23:49:55 Copying disk 0, Completed: 7%
2025/05/10 23:49:55 Copying disk 0, Completed: 7%
2025/05/10 23:49:56 Copying disk 0, Completed: 7%
2025/05/10 23:49:56 Copying disk 0, Completed: 7%
2025/05/10 23:49:57 Copying disk 0, Completed: 7%
2025/05/10 23:49:57 Copying disk 0, Completed: 7%
2025/05/10 23:49:58 Copying disk 0, Completed: 7%
2025/05/10 23:49:58 Copying disk 0, Completed: 7%
2025/05/10 23:49:59 Copying disk 0, Completed: 7%
2025/05/10 23:50:00 Copying disk 0, Completed: 7%
2025/05/10 23:50:00 Copying disk 0, Completed: 7%
2025/05/10 23:50:01 Copying disk 0, Completed: 7%
2025/05/10 23:50:01 Copying disk 0, Completed: 7%
2025/05/10 23:50:02 Copying disk 0, Completed: 7%
2025/05/10 23:50:02 Copying disk 0, Completed: 7%
2025/05/10 23:50:03 Copying disk 0, Completed: 7%
2025/05/10 23:50:03 Copying disk 0, Completed: 7%
2025/05/10 23:50:04 Copying disk 0, Completed: 7%
2025/05/10 23:50:04 Copying disk 0, Completed: 7%
2025/05/10 23:50:05 Copying disk 0, Completed: 7%
2025/05/10 23:50:05 Copying disk 0, Completed: 7%
2025/05/10 23:50:06 Copying disk 0, Completed: 7%
2025/05/10 23:50:06 Copying disk 0, Completed: 7%
2025/05/10 23:50:07 Copying disk 0, Completed: 7%
2025/05/10 23:50:07 Copying disk 0, Completed: 7%
2025/05/10 23:50:08 Copying disk 0, Completed: 7%
2025/05/10 23:50:08 Copying disk 0, Completed: 7%
2025/05/10 23:50:09 Copying disk 0, Completed: 7%
2025/05/10 23:50:09 Copying disk 0, Completed: 7%
2025/05/10 23:50:10 Copying disk 0, Completed: 7%
2025/05/10 23:50:10 Copying disk 0, Completed: 7%
2025/05/10 23:50:11 Copying disk 0, Completed: 7%
2025/05/10 23:50:11 Copying disk 0, Completed: 7%
2025/05/10 23:50:12 Copying disk 0, Completed: 7%
2025/05/10 23:50:12 Copying disk 0, Completed: 7%
2025/05/10 23:50:13 Copying disk 0, Completed: 8%
2025/05/10 23:50:13 Copying disk 0, Completed: 8%
2025/05/10 23:50:14 Copying disk 0, Completed: 8%
2025/05/10 23:50:14 Copying disk 0, Completed: 8%
2025/05/10 23:50:15 Copying disk 0, Completed: 8%
2025/05/10 23:50:15 Copying disk 0, Completed: 8%
2025/05/10 23:50:16 Copying disk 0, Completed: 8%
2025/05/10 23:50:17 Copying disk 0, Completed: 8%
2025/05/10 23:50:17 Copying disk 0, Completed: 8%
2025/05/10 23:50:18 Copying disk 0, Completed: 8%
2025/05/10 23:50:18 Copying disk 0, Completed: 8%
2025/05/10 23:50:19 Copying disk 0, Completed: 8%
2025/05/10 23:50:19 Copying disk 0, Completed: 8%
2025/05/10 23:50:20 Copying disk 0, Completed: 8%
2025/05/10 23:50:20 Copying disk 0, Completed: 8%
2025/05/10 23:50:21 Copying disk 0, Completed: 8%
2025/05/10 23:50:21 Copying disk 0, Completed: 8%
2025/05/10 23:50:22 Copying disk 0, Completed: 8%
2025/05/10 23:50:22 Copying disk 0, Completed: 8%
2025/05/10 23:50:23 Copying disk 0, Completed: 8%
2025/05/10 23:50:23 Copying disk 0, Completed: 8%
2025/05/10 23:50:24 Copying disk 0, Completed: 8%
2025/05/10 23:50:24 Copying disk 0, Completed: 8%
2025/05/10 23:50:25 Copying disk 0, Completed: 8%
2025/05/10 23:50:25 Copying disk 0, Completed: 8%
2025/05/10 23:50:26 Copying disk 0, Completed: 8%
2025/05/10 23:50:26 Copying disk 0, Completed: 8%
2025/05/10 23:50:27 Copying disk 0, Completed: 8%
2025/05/10 23:50:27 Copying disk 0, Completed: 8%
2025/05/10 23:50:28 Copying disk 0, Completed: 8%
2025/05/10 23:50:28 Copying disk 0, Completed: 8%
2025/05/10 23:50:29 Copying disk 0, Completed: 8%
2025/05/10 23:50:30 Copying disk 0, Completed: 8%
2025/05/10 23:50:30 Copying disk 0, Completed: 8%
2025/05/10 23:50:31 Copying disk 0, Completed: 8%
2025/05/10 23:50:31 Copying disk 0, Completed: 8%
2025/05/10 23:50:32 Copying disk 0, Completed: 8%
2025/05/10 23:50:32 Copying disk 0, Completed: 8%
2025/05/10 23:50:33 Copying disk 0, Completed: 8%
2025/05/10 23:50:33 Copying disk 0, Completed: 8%
2025/05/10 23:50:34 Copying disk 0, Completed: 8%
2025/05/10 23:50:34 Copying disk 0, Completed: 9%
2025/05/10 23:50:35 Copying disk 0, Completed: 9%
2025/05/10 23:50:35 Copying disk 0, Completed: 9%
2025/05/10 23:50:36 Copying disk 0, Completed: 9%
2025/05/10 23:50:36 Copying disk 0, Completed: 9%
2025/05/10 23:50:37 Copying disk 0, Completed: 9%
2025/05/10 23:50:37 Copying disk 0, Completed: 9%
2025/05/10 23:50:38 Copying disk 0, Completed: 9%
2025/05/10 23:50:38 Copying disk 0, Completed: 9%
2025/05/10 23:50:39 Copying disk 0, Completed: 9%
2025/05/10 23:50:39 Copying disk 0, Completed: 9%
2025/05/10 23:50:40 Copying disk 0, Completed: 9%
2025/05/10 23:50:41 Copying disk 0, Completed: 9%
2025/05/10 23:50:41 Copying disk 0, Completed: 9%
2025/05/10 23:50:42 Copying disk 0, Completed: 9%
2025/05/10 23:50:42 Copying disk 0, Completed: 9%
2025/05/10 23:50:43 Copying disk 0, Completed: 9%
2025/05/10 23:50:43 Copying disk 0, Completed: 9%
2025/05/10 23:50:44 Copying disk 0, Completed: 9%
2025/05/10 23:50:44 Copying disk 0, Completed: 9%
2025/05/10 23:50:45 Copying disk 0, Completed: 9%
2025/05/10 23:50:45 Copying disk 0, Completed: 9%
2025/05/10 23:50:46 Copying disk 0, Completed: 9%
2025/05/10 23:50:46 Copying disk 0, Completed: 9%
2025/05/10 23:50:47 Copying disk 0, Completed: 9%
2025/05/10 23:50:47 Copying disk 0, Completed: 9%
2025/05/10 23:50:48 Copying disk 0, Completed: 9%
2025/05/10 23:50:48 Copying disk 0, Completed: 9%
2025/05/10 23:50:49 Copying disk 0, Completed: 9%
2025/05/10 23:50:49 Copying disk 0, Completed: 9%
2025/05/10 23:50:50 Copying disk 0, Completed: 9%
2025/05/10 23:50:50 Copying disk 0, Completed: 9%
2025/05/10 23:50:51 Copying disk 0, Completed: 9%
2025/05/10 23:50:51 Copying disk 0, Completed: 9%
2025/05/10 23:50:52 Copying disk 0, Completed: 9%
2025/05/10 23:50:52 Copying disk 0, Completed: 9%
2025/05/10 23:50:53 Copying disk 0, Completed: 9%
2025/05/10 23:50:53 Copying disk 0, Completed: 9%
2025/05/10 23:50:54 Copying disk 0, Completed: 9%
2025/05/10 23:50:54 Copying disk 0, Completed: 9%
2025/05/10 23:50:55 Copying disk 0, Completed: 9%
2025/05/10 23:50:55 Copying disk 0, Completed: 10%
2025/05/10 23:50:55 Copying disk 0, Completed: 10%
2025/05/10 23:50:56 Copying disk 0, Completed: 10%
2025/05/10 23:50:56 Copying disk 0, Completed: 10%
2025/05/10 23:50:57 Copying disk 0, Completed: 10%
2025/05/10 23:50:57 Copying disk 0, Completed: 10%
2025/05/10 23:50:58 Copying disk 0, Completed: 10%
2025/05/10 23:50:58 Copying disk 0, Completed: 10%
2025/05/10 23:50:59 Copying disk 0, Completed: 10%
2025/05/10 23:50:59 Copying disk 0, Completed: 10%
2025/05/10 23:51:00 Copying disk 0, Completed: 10%
2025/05/10 23:51:00 Copying disk 0, Completed: 10%
2025/05/10 23:51:01 Copying disk 0, Completed: 10%
2025/05/10 23:51:01 Copying disk 0, Completed: 10%
2025/05/10 23:51:02 Copying disk 0, Completed: 10%
2025/05/10 23:51:02 Copying disk 0, Completed: 10%
2025/05/10 23:51:03 Copying disk 0, Completed: 10%
2025/05/10 23:51:03 Copying disk 0, Completed: 10%
